 0 1 2 3 4 5
1159724317 False False False False False False
1159725956 False False False False False False
1159727594 False False False False False False
1159729233 False False False False False False
1159730871 False False False False False False
1159732509 False False False False False False
1159734148 False False False False False False
1159735786 False False False False False False
1159737425 False False False False False True
1159739063 False False False False False False
1159740701 False False False False False False
1159742340 False False False False False False
1159743978 False False False False False False
1159745617 False False False False False True
1159747255 False False False False False False
1159748893 False False False False False False
1159750532 False False False False False False
1159752170 False False False False False False
1159753809 False False False False False False
1159755447 False False False False False False
1159757085 False False False False False False
1159758724 False False False False False False
1159760362 False False False False False False
1159762001 False False False False False False
1159763639 False False False False False False
1159765277 False False False False False False
1159766916 False False False False False False
1159768554 False False False False False False
1159770193 False False False False False False
1159771831 False False False False False False
1159773469 False False False False False False
1159775108 False False False False False False
1159776746 False False False False False False
1159778385 False False False False False False
1159780023 False False False False False False
1159781661 False False False False False False
1159783300 False False False False False False
1159784938 False False False False False False
1159786577 False False False False False False
1159788215 False False False False False False
1159789853 False False False False False False
1159791492 False False False False False False
1159793130 False False False False False False
1159794769 False False False False False False
1159796407 False False False False False False
1159798045 False False False False False False
1159799684 False False False False False False
1159801322 False False False False False False
1159802961 False False False False False False
1159804599 False False False False False False
1159806237 False False False False False False
1159807876 False False False False False False
1159809514 False False False False False False
1159811153 False False False False False False
1159812791 False False False False False False
1159814429 False False False False False False
1159816068 False False False False False False
1159817706 False False False False False False
1159819345 False False False False False False
1159820983 False False False False False False
1159822621 False False False False False False
1159824260 False False False False False False
1159825898 False False False False False False
1159827537 False False False False False False
1159829175 False False False False False False
1159830813 False False False False False False
1159832452 False False False False False False
1159834090 False False False False False False
1159835729 False False False False False False
1159837367 False False False False False False
1159839005 False False False False False False
1159840644 False False False False False False
1159842282 False False False False False False
1159843921 False False False False False False
1159845559 False False False False False False
1159847197 False False False False False False
1159848836 False False False False False False
1159850474 False False False False False False
1159852113 False False False False False False
1159853751 False False False False False False
1159855389 False False False False False False
1159857028 False False False False False False
1159858666 False False False False False False
1159860305 False False False False False False
1159861943 False False False False False False
1159863581 False False False False False False
1159865220 False False False False False False
1159866858 True False False False False False
1159868497 False False False False False False
1159870135 False False False False False False
1159871773 False False False False False False
1159873412 False False False False False False
1159875050 False False False False False False
1159876689 False False False False False False
1159878327 False False False False False False
1159879965 False False False False False False
1159881604 False False False False False False
1159883242 False False False False False False
1159884881 False False False False False False
1159886519 False False False False False False
1159888157 False False False False False False
1159889796 False False False False False False
1159891434 False False False False False False
1159893073 False False False False False False
1159894711 False False False False False False
1159896349 False False False False False False
1159897988 False False False False False False
1159899626 False False False False False False
1159901265 False False False False False False
1159902903 False False False False False False
1159904541 False False False False False False
1159906180 False False False False False False
1159907818 False False False False False False
1159909457 False False False False False False
1159911095 False False False False False False
1159912733 False False False False False False
1159914372 False False False False False False
1159916010 False False False False False False
1159917649 False False False False False False
1159919287 False False False False False False
1159920925 False False False False False False
1159922564 False False False False False False
1159924202 False False False False False False
1159925841 False False False False False False
1159927479 False False False False False False
1159929117 False False False False False False
1159930756 False False False False False False
1159932394 False False False False False False
1159934033 False False False False False False
1159935671 False False False False False False
1159937309 False False False False False False
1159938948 False False False False False False
1159940586 False False False False False False
1159942225 False False False False False False
1159943863 False False False False False False
1159945501 False False False False False False
